时间,品类,指标,地区,周期,单位,数值
2022,农业科技进步贡献率,贡献率,全国,年,%,62.4
2021,农业科技进步贡献率,贡献率,全国,年,%,61.5
2020,化肥有效利用率,利用率,全国,年,%,40.2
2020,农药有效利用率,利用率,全国,年,%,40.6
2020,县域数字农业农村发展总体水平,占比,全国,年,%,37.9
2020,农业科技进步贡献率,贡献率,全国,年,%,60.7
2019,农药有效利用率,利用率,全国,年,%,39.8
2019,化肥有效利用率,利用率,全国,年,%,39.2
2019,县域数字农业农村发展总体水平,占比,全国,年,%,36.0
2019,农业科技进步贡献率,贡献率,全国,年,%,59.2
2018,县域数字农业农村发展总体水平,占比,全国,年,%,33.0
2018,农业科技进步贡献率,贡献率,全国,年,%,58.3
2017,农药有效利用率,利用率,全国,年,%,38.8
2017,化肥有效利用率,利用率,全国,年,%,38.8
2017,农业科技进步贡献率,贡献率,全国,年,%,57.5
2016,农业科技进步贡献率,贡献率,全国,年,%,56.7
2015,农药有效利用率,利用率,全国,年,%,36.6
2015,化肥有效利用率,利用率,全国,年,%,35.2
2015,农业科技进步贡献率,贡献率,全国,年,%,56.1
2014,农业科技进步贡献率,贡献率,全国,年,%,55.6
2013,农药有效利用率,利用率,全国,年,%,35.0
2013,化肥有效利用率,利用率,全国,年,%,33.0
2013,农业科技进步贡献率,贡献率,全国,年,%,55.2
2012,农业科技进步贡献率,贡献率,全国,年,%,54.5