指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年
农村居民平均每百户年末家用汽车拥有量(辆),32.4,30.2,26.4,24.7,22.3,19.3,17.4,13.3,11,9.9
农村居民平均每百户年末摩托车拥有量(辆),49,49.9,53.6,55.1,57.4,64.1,65.1,67.5,67.6,61.1
农村居民平均每百户年末电动助力车拥有量(辆),82.5,80.7,73.1,70.1,64.9,61.1,57.7,50.1,45.4,40.3
农村居民平均每百户年末洗衣机拥有量(台),96.8,96.1,92.6,91.6,88.5,86.3,84,78.8,74.8,71.2
农村居民平均每百户年末电冰箱（柜）拥有量(台),103.9,103.5,100.1,98.6,95.9,91.7,89.5,82.6,77.6,72.9
农村居民平均每百户年末微波炉拥有量(台),22.8,22.2,19.7,18.9,17.7,17.3,16.1,15,14.7,14.1
农村居民平均每百户年末彩色电视机拥有量(台),116.5,116.3,117.8,117.6,116.6,120,118.8,116.9,115.6,112.9
农村居民平均每百户年末空调拥有量(台),92.2,89,73.8,71.3,65.2,52.6,47.6,38.8,34.2,29.8
农村居民平均每百户年末热水器拥有量(台),78.1,77.9,76.2,71.7,68.7,62.5,59.7,52.5,48.2,43.6
农村居民平均每百户年末排油烟机拥有量(台),38.5,36.6,30.9,29,26,20.4,18.4,15.3,13.9,12.4
农村居民平均每百户年末移动电话拥有量(部),266.9,266.6,260.9,261.2,257,246.1,240.7,226.1,215,199.5
农村居民平均每百户年末计算机拥有量(台),25,24.6,28.3,27.5,26.9,29.2,27.9,25.7,23.5,20
农村居民平均每百户年末照相机拥有量(台),1.7,1.7,2.2,2.3,2.5,3.9,3.4,4.1,4.5,4.4